series,slice_index,roi_idx,orientation_deg,delta_hu,mtf50,mtf10,auc,pixel_spacing_mm,nyquist
LR,54,0,8.21527099609375,577.6964149475098,0.12235047328128114,0.4111077571504693,0.18043180049364,0.3184,1.5703517587939697
LR,42,1,172.5875244140625,795.0422649383545,0.10936518577464281,0.3705517111824887,0.17310463098666198,0.3184,1.5703517587939697
LR,55,2,10.619674682617188,353.8461151123047,0.09726629359296884,0.3363916832476639,0.15458898615887753,0.3184,1.5703517587939697
LR,21,3,9.80816650390625,752.1382751464844,0.22711219722982331,0.4400438156041006,0.25123037734952663,0.3184,1.5703517587939697
LR,13,4,171.87052154541016,557.3358917236328,0.1990676657205649,0.609097190648286,0.3217981385209918,0.3184,1.5703517587939697
LR,47,5,172.8072738647461,212.7675018310547,0.14922178390529306,0.35698629982070607,0.20624858167371965,0.3184,1.5703517587939697
LR,42,6,7.8526611328125,691.8585205078125,0.281130985302878,0.48723300127791247,0.2817499187553789,0.3184,1.5703517587939697
LR,33,7,173.44823455810547,208.24456787109375,0.4973594132152238,0.6821113339592686,0.7247674164400861,0.3184,1.5703517587939697
LR,2,8,168.00609588623047,570.3978805541992,0.14168461833434193,0.2238863176499548,0.1659250613017638,0.3184,1.5703517587939697
LR,17,9,7.173583984375,817.9424743652344,0.2014495897867255,0.35982365145795,0.2187767293763093,0.3184,1.5703517587939697
LR,41,10,6.121696472167969,280.7063903808594,0.09090541225448956,0.6207015125658041,0.40029074623350813,0.3184,1.5703517587939697
LR,49,11,171.67494201660156,217.01462936401367,0.15008977115598424,0.838274055486342,0.316102635261087,0.3184,1.5703517587939697
LR,40,12,14.422515869140625,414.93768310546875,0.10813951596419231,0.5377144646477374,0.23887570476395537,0.3184,1.5703517587939697
LR,8,13,173.234619140625,944.5164947509766,0.15917303767510993,0.243194766772644,0.18523444648919626,0.3184,1.5703517587939697
LR,43,14,8.0584716796875,763.4311141967773,0.13589037677380147,0.4649834517688019,0.21099273003551502,0.3184,1.5703517587939697
LR,35,15,172.77642822265625,492.7608833312988,0.15182173250521924,0.4442439760810746,0.23087275216330547,0.3184,1.5703517587939697
LR,12,16,9.799606323242188,250.21566772460938,0.17842112244150216,0.5400165419872586,0.29923431374021187,0.3184,1.5703517587939697
