series,metric,N_star,mean_at_N_star,CI_width_at_N_star,Rel_width_at_N_star
HR,auc,,,,
HR,mtf10,1500.0,1.190590108734043,0.05804929724331931,0.04875674408637852
HR,mtf50,2000.0,0.4298493558269341,0.021345038066209465,0.049657020016108624
LR,auc,600.0,0.2348707490208081,0.01908495501023877,0.0812572663467257
LR,mtf10,800.0,0.39926186179951156,0.0174987561963445,0.04382776786511971
LR,mtf50,300.0,0.17708596599959436,0.01632565207387862,0.09219054701328516
SR,auc,600.0,0.38464219900942215,0.01773098195359335,0.04609733929157111
SR,mtf10,1000.0,0.6483657450098708,0.031435601543646885,0.04848436516825593
SR,mtf50,400.0,0.30797821742837345,0.01897365633789566,0.06160713733693964
