series,n_rois,mean_mtf50,sd_mtf50,mean_mtf10,sd_mtf10,mean_auc,sd_auc,mean_pixel_spacing_mm,sd_pixel_spacing_mm,mean_nyquist,sd_nyquist
LR,4000,0.1781604923359846,0.07706545853084845,0.40038897580649807,0.1333908026643456,0.238886081484759,0.15858256001702012,0.31840000000000007,5.551115123125783e-17,1.5703517587939695,2.220446049250313e-16
SR,4000,0.30691420561615806,0.09525760551936215,0.6499756278575373,0.24858822768600125,0.3838160803144218,0.11154243361320595,0.15920000000000004,2.7755575615628914e-17,3.140703517587939,4.440892098500626e-16
HR,4000,0.42185778806663815,0.2406674394766511,1.1673248715345321,0.5557625952245926,0.6087341298646913,0.24523502220949372,0.136719,0.0,3.6571361698081475,8.881784197001252e-16
