series,slice_index,roi_idx,orientation_deg,delta_hu,mtf50,mtf10,auc,pixel_spacing_mm,nyquist
HR,1,0,83.99180603027344,266.8409118652344,0.03939134309549719,0.13630400361228756,0.05745649976087955,1.0,0.5
HR,11,1,79.489990234375,237.3272247314453,0.03744124152458669,0.21628918508008152,0.09414255216143683,1.0,0.5
HR,6,2,101.31020641326904,452.99212646484375,0.047776343795666816,0.12316673562119171,0.09456452838690663,1.0,0.5
HR,6,3,101.65971374511719,878.7327575683594,0.02895251509245635,0.05549285228413396,0.03642072943483295,1.0,0.5
HR,6,4,101.10403442382812,498.60234451293945,0.02790976401049936,0.08037884647475232,0.04761582055612971,1.0,0.5
HR,8,5,97.78634643554688,844.2199401855469,0.025224863949195146,0.038689656914077525,0.04792419155302061,1.0,0.5
HR,11,6,83.11904907226562,232.94351196289062,0.02682736409397829,0.04145140718560092,0.08140743878418104,1.0,0.5
HR,11,7,78.68978881835938,309.091064453125,0.04801452023421655,0.1152211514800365,0.07498661263315762,1.0,0.5
HR,11,8,79.31503295898438,574.814208984375,0.02702956653182696,0.041934019078850485,0.038661633177059465,1.0,0.5
HR,10,9,101.31020641326904,208.77520751953125,0.05396791238869472,0.21412044835460697,0.09293317622017545,1.0,0.5
HR,11,10,81.87051391601562,343.2243957519531,0.055362041545785966,0.10030987584595298,0.1007070541358331,1.0,0.5
HR,7,11,78.41189575195312,469.2282409667969,0.04312183489290155,0.17843484026390405,0.06968322144282486,1.0,0.5
HR,10,12,83.79098510742188,602.5619506835938,0.030392614793620223,0.18068345983445358,0.06651090986796619,1.0,0.5
HR,1,13,98.97216796875,223.9986572265625,0.02727115717902711,0.05692940370019848,0.05393435139250294,1.0,0.5
HR,5,14,82.23550415039062,253.57061767578125,0.05790142931218657,0.2392027565259815,0.1169480123267148,1.0,0.5
HR,2,15,80.53800964355469,228.1005401611328,0.16673452732749078,0.17810248180198684,0.23529442251653582,1.0,0.5
HR,6,16,79.508544921875,439.85157775878906,0.02665202678984358,0.053228599790069095,0.04138037293963854,1.0,0.5
HR,1,17,98.74565410614014,261.0355063676834,0.03517839378910643,0.1694149153328508,0.06657041645373431,1.0,0.5
HR,5,18,99.33802509307861,255.73184204101562,0.03448994465295006,0.0803013367850955,0.06277165845812846,1.0,0.5
HR,6,19,81.25433349609375,308.55848693847656,0.020682455080981325,0.21925937634482603,0.0991469789369374,1.0,0.5
HR,9,20,97.4306869506836,437.6612854003906,0.03430127868452821,0.204613328757217,0.07217778267810103,1.0,0.5
HR,8,21,99.90397071838379,520.6023406982422,0.07923679435968015,0.1603387683935892,0.09754034983659875,1.0,0.5
HR,6,22,78.27444458007812,424.27124786376953,0.10067927472914812,0.12636088716898417,0.10139371476530552,1.0,0.5
HR,10,23,97.54872131347656,347.728759765625,0.02263953406318828,0.08775785690232298,0.05888749995036961,1.0,0.5
HR,0,24,78.4244384765625,851.1531982421875,0.02727762495716846,0.14167673526013239,0.050955324544740874,1.0,0.5
HR,6,25,80.24229431152344,656.204833984375,0.02475774089571084,0.06651879369396614,0.042634476903559246,1.0,0.5
HR,6,26,82.50485229492188,576.4660453796387,0.03438136441367833,0.15493101652127625,0.05871344776216565,1.0,0.5
HR,5,27,81.70346069335938,382.74010467529297,0.0819027301291426,0.13793220211559443,0.10386677706908748,1.0,0.5
HR,1,28,98.43979549407959,271.3169403076172,0.01761241353305294,0.027062581495582147,0.15693259401202528,1.0,0.5
HR,9,29,79.90264892578125,303.56805419921875,0.030332556935690924,0.0708100349259502,0.053756179015762705,1.0,0.5
HR,3,30,82.05717468261719,205.43023681640625,0.03202305520278118,0.22257144887103042,0.10012799602015451,1.0,0.5
HR,7,31,97.88247680664062,546.5230407714844,0.04632499612655382,0.13815534730113418,0.0750817630811614,1.0,0.5
HR,4,32,83.59335327148438,1087.8900604248047,0.09662166696492484,0.17783020548160958,0.11410503079128999,1.0,0.5
HR,0,33,79.87548828125,557.3391418457031,0.02520671128321652,0.040583120803300156,0.04206875493772291,1.0,0.5
HR,0,34,97.27426147460938,206.33535766601562,0.028369783739429427,0.04493400710382253,0.09785380748837841,1.0,0.5
HR,1,35,83.95672607421875,390.3125305175781,0.02953337548573285,0.05567082195565798,0.05381495638565519,1.0,0.5
HR,11,36,98.12947845458984,537.7697448730469,0.049804026977339315,0.18627537734780783,0.07181927955898773,1.0,0.5
HR,10,37,98.51343250274658,291.42613220214844,0.01677063999384045,0.025655946901463965,0.07925120985334085,1.0,0.5
HR,8,38,97.48016357421875,668.5466766357422,0.027691590342482007,0.04580980532815669,0.038594287422389496,1.0,0.5
HR,5,39,100.56999206542969,652.8421792984009,0.028234153693798947,0.1540350229309973,0.05492127524020206,1.0,0.5
