series,slice_index,roi_idx,orientation_deg,delta_hu,mtf50,mtf10,auc,pixel_spacing_mm,nyquist
SR,3,0,101.02362060546875,267.32440185546875,0.21565401018148975,0.7871483144814659,0.32210107489158274,0.1592,3.1407035175879394
SR,14,1,100.59153747558594,524.5117492675781,0.3414088330689093,0.7014532121393063,0.4187960008994106,0.1592,3.1407035175879394
SR,0,2,79.17689514160156,455.1289978027344,0.23455051933091062,0.4198695627328973,0.29606659437918237,0.1592,3.1407035175879394
SR,1,3,84.33709716796875,620.197265625,0.23889306049854872,0.4216616321219705,0.2806066579072856,0.1592,3.1407035175879394
SR,6,4,100.82310485839844,219.95037841796875,0.2315337968369885,0.6490491016979314,0.352828687056154,0.1592,3.1407035175879394
SR,7,5,75.71115112304688,442.32862854003906,0.24469402250248878,0.7446492648118264,0.32457442293451094,0.1592,3.1407035175879394
SR,7,6,81.98355102539062,353.914794921875,0.21956455501693606,0.36653547467122394,0.27795202316676804,0.1592,3.1407035175879394
SR,7,7,77.19480895996094,443.21034240722656,0.19231080281056118,0.5961304217496788,0.2629754377521018,0.1592,3.1407035175879394
SR,14,8,98.4705810546875,727.68603515625,0.36604769162389855,0.6945252691353503,0.41335972799837556,0.1592,3.1407035175879394
SR,13,9,99.60490608215332,375.4409408569336,0.35446296286515583,0.975631304035702,0.4454545615448286,0.1592,3.1407035175879394
SR,13,10,82.26708984375,611.6346282958984,0.3182263221841745,0.6398675229105839,0.39632489833672463,0.1592,3.1407035175879394
SR,9,11,95.0123291015625,507.4204406738281,0.37471484070720845,0.6345961465742531,0.404976332807286,0.1592,3.1407035175879394
SR,4,12,95.34225416183472,506.83056640625,0.38447549990013224,0.6496879547138488,0.4367084982190824,0.1592,3.1407035175879394
SR,3,13,84.80636596679688,515.0276794433594,0.21529980604156854,0.36424889004143396,0.24808695991269758,0.1592,3.1407035175879394
SR,10,14,75.69805908203125,821.9165759086609,0.4663347475698827,0.8054241278475797,0.49516664593224813,0.1592,3.1407035175879394
SR,13,15,95.47656345367432,880.312873840332,0.28982830524327013,0.4934372918309226,0.3278652997737885,0.1592,3.1407035175879394
